position,sample,hand,measurement,interval,value
assis-proche,4,left,right,i_inn,0
assis-proche,4,right,left,i_inn,-1
assis-proche,4,right,right,i_inn,-1.5
assis-loin,1,left,left,i_inn,-2.5
assis-loin,1,left,right,i_inn,-3
assis-loin,1,right,left,i_inn,-1
assis-loin,1,right,right,i_inn,-2
assis-loin,2,left,left,i_inn,0
assis-loin,2,left,right,i_inn,0
assis-loin,2,right,left,i_inn,-1
assis-loin,2,right,right,i_inn,1
assis-loin,3,left,left,i_inn,-3
assis-loin,3,left,right,i_inn,-2
assis-loin,3,right,left,i_inn,0
assis-loin,3,right,right,i_inn,0
assis-loin,4,left,left,i_inn,-6
assis-loin,4,left,right,i_inn,-6
assis-loin,4,right,left,i_inn,-1
assis-loin,4,right,right,i_inn,0
assis-focus,1,left,left,i_inn,-5
assis-focus,1,left,right,i_inn,-1
assis-focus,1,right,left,i_inn,-1
assis-focus,1,right,right,i_inn,-1
assis-focus,2,left,left,i_inn,-4
assis-focus,2,left,right,i_inn,-3
assis-focus,2,right,left,i_inn,-2
assis-focus,2,right,right,i_inn,-3
assis-focus,3,left,left,i_inn,0
assis-focus,3,left,right,i_inn,0
assis-focus,3,right,left,i_inn,0
assis-focus,3,right,right,i_inn,0
assis-focus,4,left,left,i_inn,-2.5
assis-focus,4,left,right,i_inn,-2
assis-focus,4,right,left,i_inn,-2.5
assis-focus,4,right,right,i_inn,-2
debout,1,left,left,i_inn,1
debout,1,left,right,i_inn,1
debout,1,right,left,i_inn,-2.5
debout,1,right,right,i_inn,-2.5
debout,2,left,left,i_inn,-1
debout,2,left,right,i_inn,-2
debout,2,right,left,i_inn,-2
debout,2,right,right,i_inn,-1.5
debout,3,left,left,i_inn,-2
debout,3,left,right,i_inn,-2
debout,3,right,left,i_inn,-5
debout,3,right,right,i_inn,-4.5
debout,4,left,left,i_inn,0
debout,4,left,right,i_inn,0
debout,4,right,left,i_inn,-2
debout,4,right,right,i_inn,-1
